waveform	[0]
t0	4/25/2025  16:03:36.789856
delta t	2.272727E-5

time	Y[0]
4/25/2025  16:03:36.792447	0.000000E+0
4/25/2025  16:03:36.792470	0.000000E+0
4/25/2025  16:03:36.792493	-3.051758E-5
4/25/2025  16:03:36.792516	-3.051758E-5
4/25/2025  16:03:36.792538	-3.051758E-5
4/25/2025  16:03:36.792561	0.000000E+0
4/25/2025  16:03:36.792584	0.000000E+0
4/25/2025  16:03:36.792606	0.000000E+0
4/25/2025  16:03:36.792629	0.000000E+0
4/25/2025  16:03:36.792652	-3.051758E-5
4/25/2025  16:03:36.792675	0.000000E+0
4/25/2025  16:03:36.792697	0.000000E+0
4/25/2025  16:03:36.792720	0.000000E+0
4/25/2025  16:03:36.792743	0.000000E+0
4/25/2025  16:03:36.792766	0.000000E+0
4/25/2025  16:03:36.792788	0.000000E+0
4/25/2025  16:03:36.792811	0.000000E+0
4/25/2025  16:03:36.792834	0.000000E+0
4/25/2025  16:03:36.792856	0.000000E+0
4/25/2025  16:03:36.792879	3.051758E-5
4/25/2025  16:03:36.792902	0.000000E+0
4/25/2025  16:03:36.792925	3.051758E-5
4/25/2025  16:03:36.792947	0.000000E+0
4/25/2025  16:03:36.792970	0.000000E+0
4/25/2025  16:03:36.792993	0.000000E+0
4/25/2025  16:03:36.793016	0.000000E+0
4/25/2025  16:03:36.793038	0.000000E+0
4/25/2025  16:03:36.793061	0.000000E+0
4/25/2025  16:03:36.793084	3.051758E-5
4/25/2025  16:03:36.793106	-3.051758E-5
4/25/2025  16:03:36.793129	0.000000E+0
4/25/2025  16:03:36.793152	3.051758E-5
4/25/2025  16:03:36.793175	-3.051758E-5
4/25/2025  16:03:36.793197	0.000000E+0
4/25/2025  16:03:36.793220	0.000000E+0
4/25/2025  16:03:36.793243	0.000000E+0
4/25/2025  16:03:36.793266	0.000000E+0
4/25/2025  16:03:36.793288	0.000000E+0
4/25/2025  16:03:36.793311	0.000000E+0
4/25/2025  16:03:36.793334	0.000000E+0
4/25/2025  16:03:36.793356	-3.051758E-5
4/25/2025  16:03:36.793379	0.000000E+0
4/25/2025  16:03:36.793402	0.000000E+0
4/25/2025  16:03:36.793425	0.000000E+0
4/25/2025  16:03:36.793447	-3.051758E-5
4/25/2025  16:03:36.793470	0.000000E+0
4/25/2025  16:03:36.793493	-3.051758E-5
4/25/2025  16:03:36.793516	0.000000E+0
4/25/2025  16:03:36.793538	0.000000E+0
4/25/2025  16:03:36.793561	0.000000E+0
4/25/2025  16:03:36.793584	0.000000E+0
4/25/2025  16:03:36.793606	0.000000E+0
4/25/2025  16:03:36.793629	-3.051758E-5
4/25/2025  16:03:36.793652	0.000000E+0
4/25/2025  16:03:36.793675	0.000000E+0
4/25/2025  16:03:36.793697	0.000000E+0
4/25/2025  16:03:36.793720	0.000000E+0
4/25/2025  16:03:36.793743	0.000000E+0
4/25/2025  16:03:36.793766	0.000000E+0
4/25/2025  16:03:36.793788	-3.051758E-5
4/25/2025  16:03:36.793811	0.000000E+0
4/25/2025  16:03:36.793834	0.000000E+0
4/25/2025  16:03:36.793856	0.000000E+0
4/25/2025  16:03:36.793879	0.000000E+0
4/25/2025  16:03:36.793902	0.000000E+0
4/25/2025  16:03:36.793925	0.000000E+0
4/25/2025  16:03:36.793947	0.000000E+0
4/25/2025  16:03:36.793970	0.000000E+0
4/25/2025  16:03:36.793993	-3.051758E-5
4/25/2025  16:03:36.794016	-3.051758E-5
4/25/2025  16:03:36.794038	0.000000E+0
4/25/2025  16:03:36.794061	0.000000E+0
4/25/2025  16:03:36.794084	0.000000E+0
4/25/2025  16:03:36.794106	0.000000E+0
4/25/2025  16:03:36.794129	0.000000E+0
4/25/2025  16:03:36.794152	3.051758E-5
4/25/2025  16:03:36.794175	0.000000E+0
4/25/2025  16:03:36.794197	0.000000E+0
4/25/2025  16:03:36.794220	0.000000E+0
4/25/2025  16:03:36.794243	0.000000E+0
4/25/2025  16:03:36.794266	0.000000E+0
4/25/2025  16:03:36.794288	-3.051758E-5
4/25/2025  16:03:36.794311	0.000000E+0
4/25/2025  16:03:36.794334	0.000000E+0
4/25/2025  16:03:36.794356	0.000000E+0
4/25/2025  16:03:36.794379	0.000000E+0
4/25/2025  16:03:36.794402	0.000000E+0
4/25/2025  16:03:36.794425	0.000000E+0
4/25/2025  16:03:36.794447	0.000000E+0
4/25/2025  16:03:36.794470	0.000000E+0
4/25/2025  16:03:36.794493	0.000000E+0
4/25/2025  16:03:36.794516	3.051758E-5
4/25/2025  16:03:36.794538	0.000000E+0
4/25/2025  16:03:36.794561	3.051758E-5
4/25/2025  16:03:36.794584	0.000000E+0
4/25/2025  16:03:36.794606	0.000000E+0
4/25/2025  16:03:36.794629	3.051758E-5
4/25/2025  16:03:36.794652	-3.051758E-5
4/25/2025  16:03:36.794675	3.051758E-5
4/25/2025  16:03:36.794697	0.000000E+0
4/25/2025  16:03:36.794720	0.000000E+0
4/25/2025  16:03:36.794743	0.000000E+0
4/25/2025  16:03:36.794766	-3.051758E-5
4/25/2025  16:03:36.794788	-3.051758E-5
4/25/2025  16:03:36.794811	0.000000E+0
4/25/2025  16:03:36.794834	0.000000E+0
4/25/2025  16:03:36.794856	0.000000E+0
4/25/2025  16:03:36.794879	-3.051758E-5
4/25/2025  16:03:36.794902	0.000000E+0
4/25/2025  16:03:36.794925	-3.051758E-5
4/25/2025  16:03:36.794947	0.000000E+0
4/25/2025  16:03:36.794970	0.000000E+0
4/25/2025  16:03:36.794993	0.000000E+0
4/25/2025  16:03:36.795016	-3.051758E-5
4/25/2025  16:03:36.795038	0.000000E+0
4/25/2025  16:03:36.795061	0.000000E+0
4/25/2025  16:03:36.795084	0.000000E+0
4/25/2025  16:03:36.795106	0.000000E+0
4/25/2025  16:03:36.795129	3.051758E-5
4/25/2025  16:03:36.795152	0.000000E+0
4/25/2025  16:03:36.795175	0.000000E+0
4/25/2025  16:03:36.795197	0.000000E+0
4/25/2025  16:03:36.795220	0.000000E+0
4/25/2025  16:03:36.795243	0.000000E+0
4/25/2025  16:03:36.795266	0.000000E+0
4/25/2025  16:03:36.795288	3.051758E-5
4/25/2025  16:03:36.795311	0.000000E+0
4/25/2025  16:03:36.795334	3.051758E-5
4/25/2025  16:03:36.795356	0.000000E+0
4/25/2025  16:03:36.795379	0.000000E+0
4/25/2025  16:03:36.795402	0.000000E+0
4/25/2025  16:03:36.795425	0.000000E+0
4/25/2025  16:03:36.795447	0.000000E+0
4/25/2025  16:03:36.795470	0.000000E+0
4/25/2025  16:03:36.795493	3.051758E-5
4/25/2025  16:03:36.795516	0.000000E+0
4/25/2025  16:03:36.795538	0.000000E+0
4/25/2025  16:03:36.795561	0.000000E+0
4/25/2025  16:03:36.795584	3.051758E-5
4/25/2025  16:03:36.795606	3.051758E-5
4/25/2025  16:03:36.795629	0.000000E+0
4/25/2025  16:03:36.795652	0.000000E+0
4/25/2025  16:03:36.795675	0.000000E+0
4/25/2025  16:03:36.795697	0.000000E+0
4/25/2025  16:03:36.795720	0.000000E+0
4/25/2025  16:03:36.795743	0.000000E+0
4/25/2025  16:03:36.795766	0.000000E+0
4/25/2025  16:03:36.795788	0.000000E+0
4/25/2025  16:03:36.795811	-3.051758E-5
4/25/2025  16:03:36.795834	3.051758E-5
4/25/2025  16:03:36.795856	0.000000E+0
4/25/2025  16:03:36.795879	0.000000E+0
4/25/2025  16:03:36.795902	0.000000E+0
4/25/2025  16:03:36.795925	0.000000E+0
4/25/2025  16:03:36.795947	0.000000E+0
4/25/2025  16:03:36.795970	0.000000E+0
4/25/2025  16:03:36.795993	0.000000E+0
4/25/2025  16:03:36.796016	3.051758E-5
4/25/2025  16:03:36.796038	0.000000E+0
4/25/2025  16:03:36.796061	0.000000E+0
4/25/2025  16:03:36.796084	-3.051758E-5
4/25/2025  16:03:36.796106	0.000000E+0
4/25/2025  16:03:36.796129	0.000000E+0
4/25/2025  16:03:36.796152	0.000000E+0
4/25/2025  16:03:36.796175	-3.051758E-5
4/25/2025  16:03:36.796197	-3.051758E-5
4/25/2025  16:03:36.796220	0.000000E+0
4/25/2025  16:03:36.796243	0.000000E+0
4/25/2025  16:03:36.796266	3.051758E-5
4/25/2025  16:03:36.796288	0.000000E+0
4/25/2025  16:03:36.796311	-3.051758E-5
4/25/2025  16:03:36.796334	0.000000E+0
4/25/2025  16:03:36.796356	0.000000E+0
4/25/2025  16:03:36.796379	0.000000E+0
4/25/2025  16:03:36.796402	0.000000E+0
4/25/2025  16:03:36.796425	0.000000E+0
4/25/2025  16:03:36.796447	0.000000E+0
4/25/2025  16:03:36.796470	-3.051758E-5
4/25/2025  16:03:36.796493	-3.051758E-5
4/25/2025  16:03:36.796516	0.000000E+0
4/25/2025  16:03:36.796538	0.000000E+0
4/25/2025  16:03:36.796561	-3.051758E-5
4/25/2025  16:03:36.796584	3.051758E-5
4/25/2025  16:03:36.796606	0.000000E+0
4/25/2025  16:03:36.796629	3.051758E-5
4/25/2025  16:03:36.796652	0.000000E+0
4/25/2025  16:03:36.796675	0.000000E+0
4/25/2025  16:03:36.796697	0.000000E+0
4/25/2025  16:03:36.796720	0.000000E+0
4/25/2025  16:03:36.796743	0.000000E+0
4/25/2025  16:03:36.796766	0.000000E+0
4/25/2025  16:03:36.796788	3.051758E-5
4/25/2025  16:03:36.796811	0.000000E+0
4/25/2025  16:03:36.796834	0.000000E+0
4/25/2025  16:03:36.796856	0.000000E+0
4/25/2025  16:03:36.796879	-3.051758E-5
4/25/2025  16:03:36.796902	0.000000E+0
4/25/2025  16:03:36.796925	0.000000E+0
4/25/2025  16:03:36.796947	0.000000E+0
4/25/2025  16:03:36.796970	0.000000E+0
4/25/2025  16:03:36.796993	0.000000E+0
4/25/2025  16:03:36.797016	3.051758E-5
4/25/2025  16:03:36.797038	-3.051758E-5
4/25/2025  16:03:36.797061	0.000000E+0
4/25/2025  16:03:36.797084	0.000000E+0
4/25/2025  16:03:36.797106	0.000000E+0
4/25/2025  16:03:36.797129	0.000000E+0
